"geneID","logfc.DE","B.DE","M.ChIP","A.ChIP","log.p.ChIP","B.ChIP","p.DE","p.ChIP","B.nothing","B.DE.only","B.ChIP.only","B.ChIP.DE"
"ENSG00000059804",0.149449477155131,2.0824285709301,2.54117691439446,-6.35773181805431,-2.50833265332664,-2.42342395006288,0.889183561605931,0.0814038545967277,-2.02997030635087,-0.146595798981218,-4.61320618591423,-0.361200601322346
"ENSG00000228278",0.205636881306333,3.19529306451464,2.06910057139339,-6.73467544263208,-3.07095237911751,-3.02346555160265,0.960656762171396,0.0463769653648496,-2.89598243655552,0.557796537036464,-6.01706760601096,-0.803515382238977
"ENSG00000085377",0.0241605053870929,0.258466716237026,2.90240639050289,-6.49771596746501,-2.2348142364119,-2.121632092593,0.564259339407879,0.107012006941217,-0.425684834222163,-1.07439932110187,-3.05011805898232,-0.823302669473141
"ENSG00000157343",0.173039960898045,0.859964594136544,2.41405109596498,-6.2061833476521,-2.60678624421599,-2.53015220395492,0.702653256992074,0.0737712459762277,-0.782976792344358,-0.537535796826046,-3.71167637574354,-0.877448955355043
"ENSG00000148411",0.0117779859408996,0.220987954808316,2.73356458376966,-6.49185002415953,-2.38091989821012,-2.28389622371076,0.555023245963909,0.0924654795464792,-0.300123051985546,-1.02503206250625,-3.1423270663771,-0.999551849656177
"ENSG00000013288",0.385121581272084,0.998163674076324,2.33736070953255,-6.61379060031252,-2.78757461667162,-2.72402721519501,0.730697381886223,0.061570364704042,-0.832081046039547,-0.36696112694203,-3.94447707186956,-1.00211568777617
"ENSG00000106541",0.308241496102208,1.35166732137186,2.2107209647655,-6.78990596684139,-2.98398125565702,-2.93206564491571,0.794402081161967,0.0505910166173406,-1.09774260574914,-0.0765602738740207,-4.35117935685478,-1.06560336079616
"ENSG00000070540",0.164765163573291,1.37438102232774,2.23291185191221,-7.00382148875704,-3.09867958646266,-3.05252179304129,0.798087051537286,0.0451087252589953,-1.07854535836954,-0.00387387348715368,-4.45857222524072,-1.17617450867753
"ENSG00000101441",0.0712646302029788,3.44248004162777,1.41126184800519,-6.55014105815392,-3.55959561501119,-3.53073273346887,0.969006086350959,0.0284503272735728,-3.00252162925477,1.02463985403962,-6.62667934217892,-1.29214651357403
"ENSG00000176155",0.0747908877383474,0.865510760859618,2.03628130750895,-6.69979178018675,-3.08256707266956,-3.03564167019031,0.703810722898587,0.0458414272004724,-0.585537059654864,-0.311275733983017,-4.09355397883342,-1.36683974302694
"ENSG00000152086",0.308805707035821,1.55947720681958,1.73230426115236,-6.7970554036758,-3.35568231355938,-3.32017372044712,0.826278322763918,0.0348855591423619,-1.18050984350267,0.224812007068105,-4.80665021478303,-1.38028598132027
"ENSG00000100296",0.110996275082029,1.91041864998287,1.53009858821959,-6.8406711492245,-3.50494605492625,-3.47443695520385,0.871066173693903,0.0300483942632972,-1.48879906748038,0.484305215444161,-5.20752248010339,-1.43907538288079
"ENSG00000149328",0.143108692280826,1.31631221613596,1.74214443895387,-6.79213531477504,-3.34695674671403,-3.31113132423345,0.788567501071717,0.0351912873066342,-0.942756794603905,0.0806994997321946,-4.61933955983886,-1.45177072741764
"ENSG00000170373",0.265516590154414,5.05181580041689,1.05108945147576,-6.85146112123275,-3.77065567861327,-3.74734922752312,0.993642964507974,0.023036953496461,-4.56558498053705,1.39049818488595,-8.36933316181296,-1.45782799204627
"ENSG00000075886",0.288648034007922,1.48283928990616,1.63274112781037,-6.78377883437966,-3.42242817551791,-3.38925074116025,0.815001055685567,0.0326330997642147,-1.08626543349533,0.212806234541505,-4.80441996654025,-1.47258994975279
"ENSG00000151500",0.151815551139611,1.65757024864185,1.4487674972886,-6.61768404696505,-3.53023443494092,-3.50049862906182,0.839911568146337,0.0292980465760531,-1.23159630184773,0.362416602315875,-5.02790151364273,-1.53021211550176
"ENSG00000124490",0.135154636411852,0.110036053839524,2.25321483080332,-6.53660011885031,-2.83136201083996,-2.77062156681691,0.527481290584749,0.0589325322348025,0.0377796123247831,-0.930014299334188,-3.46040445969036,-1.5356102592251
"ENSG00000151503",0.391422706157606,3.91860473803876,0.523079002955672,-7.45016238271275,-3.82730295931722,-3.80529428919377,0.980518280745585,0.0217682463756231,-3.42203320735967,1.33441068681332,-7.30506077806878,-1.54268618951012
"ENSG00000196136",0.163924075779768,2.98799191881174,0.872538435103697,-7.32639911023077,-3.79394028288161,-3.77117639653774,0.952028684144895,0.0225067439655169,-2.49883229551106,1.09732634540979,-6.39359697287018,-1.5670897120572
"ENSG00000129925",0.0998899041369605,1.70665098814284,1.59317252806461,-7.2515878567795,-3.5812282422966,-3.5529918397029,0.846401397278271,0.0278414811613453,-1.26802838286129,0.413788527267,-5.10922055366665,-1.568680435476
"ENSG00000163399",0.0441576173064448,2.04513673676154,1.25778304309153,-6.94385890255096,-3.67259242709165,-3.64685349496864,0.885455289917571,0.025410509591439,-1.58376432895757,0.640108394175598,-5.45929758745606,-1.58052944854608
"ENSG00000127954",0.281963347637008,2.21417155314069,1.2236311315222,-7.18407840964984,-3.7055045109971,-3.68060937324677,0.90151492222532,0.0245878094176821,-1.74500175773959,0.740338251461998,-5.6292728342513,-1.58086427444565
"ENSG00000155368",0.351255398369288,2.50427403799735,1.05370725401784,-7.27582003538739,-3.75724715442285,-3.73362234817221,0.924440903294024,0.0233479252215597,-2.02346469524797,0.898680985701996,-5.92485885853597,-1.58636905856029
"ENSG00000243646",0.147183073327644,0.882481410180128,1.71366472649915,-6.29436681498736,-3.31832795142002,-3.28144264420741,0.707336166222428,0.036213331610297,-0.524744121208163,-0.212904051066139,-4.30384847745181,-1.60025403255554
"ENSG00000119402",0.207975015809822,0.325231863416114,2.07437405992689,-6.64997374531103,-3.0304354312433,-2.98093568058119,0.580598765507486,0.0482946045673541,-0.0830808624647259,-0.70794721893193,-3.73927337057972,-1.60354829442735
"ENSG00000170369",0.0849216254190091,2.55274195767125,0.983165195544062,-6.95918939943821,-3.79043430772297,-3.76758955149305,0.927757505969435,0.0225857905374516,-2.0652475190751,0.93891339913345,-5.99600236873274,-1.61340339561541
"ENSG00000229314",0.146908949896081,1.33413042052224,1.52366658745617,-6.91928516709042,-3.52723836443289,-3.4974119904639,0.791523034038764,0.0293859572168212,-0.912106708940626,0.165470220260621,-4.78515073868017,-1.62968169544606
