"geneID","logfc.DE","B.DE","M.ChIP","A.ChIP","log.p.ChIP","B.ChIP","p.DE","p.ChIP","B.nothing","B.DE.only","B.ChIP.only","B.ChIP.DE"
"ENSG00000169083",0.0515025004436461,-3.26275131108854,0.00762588365763358,-5.29097743657925,-6.80971234140883,-6.80860872250078,0.036871380469736,0.00110301014467069,3.89664852328582,-3.96220007818276,-6.87396200982598,-8.48686014779432
"ENSG00000146674",-0.0840207959339374,-4.66139369993142,1.37358272823651,-6.72181982226771,-3.58898884270064,-3.56097380991982,0.00936475059081467,0.0276262507900694,3.40625266066415,-5.38764350902899,-3.61327543179995,-6.64930044905952
"ENSG00000004866",0.0633608026352106,-3.63342210289769,-0.332318542577807,-7.57019379064745,-3.8299142303025,-3.80796359038653,0.0257452643667234,0.021711477736869,3.29000570406111,-4.35542831901552,-3.87018070937227,-5.8707452619635
"ENSG00000137501",-0.106115305440949,-3.5122322604361,0.486037731275323,-8.2062819616837,-3.77891523430045,-3.7558027240067,0.0289661826658698,0.0228474621306993,3.2031435290407,-4.23588427234694,-3.82022792258819,-5.70012530403732
"ENSG00000069122",-0.129181197251881,-3.02334730127481,-0.095960205450551,-8.07891241710257,-3.78237814719934,-3.75934646230768,0.0463821954012321,0.0227684801920946,2.95497963077795,-3.74903348526891,-3.83502530628203,-5.22368958251957
"ENSG00000183246",0.0733261263157344,-2.77090464739487,-0.726456421048829,-7.70959708803315,-3.79273829451217,-3.76994671541006,0.0589168346907001,0.022533813075116,2.80782491844747,-3.49786240068978,-3.85383669609244,-4.98824266436948
"ENSG00000068615",-0.128867390869806,-2.51525566693422,-0.194139361699713,-7.66982010494658,-3.8166168817522,-3.79436911445241,0.0747955971917731,0.0220021108664365,2.64866608869491,-3.24351146718915,-3.8887406252257,-4.76509383446421
"ENSG00000179431",0.480305119736328,-2.70168285087352,1.63693903502461,-7.12260646774313,-3.52412697306153,-3.49420624859219,0.0628741278773476,0.0294775308173251,2.62396688155488,-3.43825834141284,-3.583082238766,-4.65199772072552
"ENSG00000131773",-0.142493345134245,-2.35363505122955,0.207745399173381,-6.95913376661478,-3.99374516046135,-3.97514264225935,0.0867772725832463,0.0184305593007302,2.60265728347585,-3.07827076608728,-4.076052711529,-4.78754037279568
"ENSG00000176890",-0.228225825976313,-2.42527635284009,-0.378822991466383,-7.64979895164287,-3.81556672510892,-3.79329531964701,0.0812654443436525,0.0220252286658597,2.58471334375389,-3.15439113624828,-3.89208785536196,-4.67762258276515
"ENSG00000171476",-0.369249842147277,-2.54840989478422,1.59733920075945,-7.24950452043207,-3.57898866525131,-3.55068804985735,0.0725333827000128,0.0279039041779473,2.55772007372078,-3.28444418730752,-3.64582993447243,-4.55890485727358
"ENSG00000078596",-0.0984016964324194,-2.36493258622872,0.0466028592043192,-8.6426704345278,-3.77735493388977,-3.75420591201728,0.0858861466895453,0.0228831388612154,2.52512752990528,-3.09588127621535,-3.85657226287278,-4.58155708223877
"ENSG00000196220",0.00677342326517273,-2.31204876448485,0.0767919003272528,-7.40760276829395,-3.86138839395816,-3.84012515597047,0.0901299913983152,0.0210387691361349,2.52086704749291,-3.04086935548805,-3.94455302999068,-4.61524469402767
"ENSG00000180354",0.0288248234410535,-2.33333650069548,0.820109507525589,-7.18455446414643,-3.81675152530375,-3.79450678688415,0.0883994219649602,0.0219991486235157,2.518623206432,-3.06333818899182,-3.8982011558407,-4.5908390391268
"ENSG00000196139",-0.0953984424223137,-2.28774110496627,-0.0284962799838747,-8.24300619769915,-3.77777670787948,-3.75463756141741,0.0921433391384038,0.0228734893835333,2.46907935995446,-3.01952529613854,-3.86136647709939,-4.50829064444604
"ENSG00000111144",-0.0478384531881125,-2.23193378407193,-0.0699847190472905,-7.80421808785242,-3.80216083614381,-3.77958543409565,0.0969192527930586,0.0223224844731238,2.43748326251533,-2.96354366192548,-3.88938632426782,-4.47961671502238
"ENSG00000111341",-0.4848246723112,-2.2191856582007,0.0424671577861783,-7.6781224694752,-3.81661730865623,-3.79436955096054,0.0980407919937965,0.0220021014736486,2.43359661645575,-2.95046210161364,-3.90478981200049,-4.48199219002411
"ENSG00000166803",-0.204599211805061,-2.19855416059748,0.578218394803763,-7.44775124642486,-3.82250569562555,-3.80039001149021,0.0998804011307668,0.0218729252789888,2.4202640204524,-2.9298790972577,-3.9120346729058,-4.46830891465614
"ENSG00000198839",0.404286895137929,-2.19620623027127,0.248082090031207,-8.12577042188944,-3.78281033887704,-3.75978872137655,0.100091688576239,0.0227586419705937,2.40290997372183,-2.92891015996853,-3.87206219898689,-4.42630158109319
"ENSG00000152518",0.146061815024442,-2.19841995317556,-0.467319701072205,-8.03633351293242,-3.77498793281629,-3.75178341085422,0.0998924676039149,0.0229373674296855,2.40146047800016,-2.93136881350407,-3.86401241397575,-4.420562294984
"ENSG00000158270",-0.000761124354561957,-2.16782646380479,-0.358606199741007,-7.61111718333613,-3.82223533825689,-3.80011360754129,0.102677118303651,0.0218788395849642,2.39672699475278,-2.89953309148593,-3.91373404002387,-4.43890910486036
"ENSG00000103888",0.0686246633084451,-2.13648375739202,-0.115737833059226,-7.37033624236267,-3.87447507189858,-3.85349120724199,0.105601036458988,0.0207652352688003,2.39206969479887,-2.86684764619672,-3.9685456000665,-4.46159517518994
"ENSG00000118515",-0.424697433364961,-2.19319981304665,1.08947447787647,-7.25793642345808,-3.74816470704837,-3.72432176226116,0.100362812390044,0.0235609474408726,2.3867369375325,-2.92716676914813,-3.83722416537928,-4.3887273977903
"ENSG00000118271",-0.0653773991238051,-2.15839151632913,0.207789275179794,-7.73338455398389,-3.80847407639285,-3.7860423548468,0.103549667202252,0.0221820011846684,2.38422381983708,-2.89068350578839,-3.90045009906241,-4.41618372134923
"ENSG00000163520",0.066350596451678,-2.11793855044224,-0.482940498884612,-7.73127159055828,-3.80082238550182,-3.77821640281323,0.10736547610929,0.0223523820205302,2.35022445887225,-2.85101787959244,-3.89543858587368,-4.37025807660761
"ENSG00000196167",-0.0845490650247119,-2.10434038661504,0.722253364156886,-7.40809904625033,-3.81057384704009,-3.78818970811337,0.108675673809533,0.0221354729361044,2.34340659727304,-2.83725847983161,-3.90622097538736,-4.36719017311026
"ENSG00000137801",-0.316596489480408,-2.08673117659674,0.700274971900815,-7.34921856241788,-3.8197615203627,-3.79758438468262,0.110393185564833,0.0219330308518602,2.33315993851153,-2.81956345936398,-3.91672341966878,-4.35978424416116
"ENSG00000164237",-0.000997707727255784,-2.07535375758211,0.0628633800760996,-7.55218840629558,-3.83454095208079,-3.81269275209475,0.111515485141655,0.0216112567959719,2.32972437790159,-2.80782606066009,-3.93244042142168,-4.36387088802515
"ENSG00000148841",0.340148898743349,-2.03799257109556,0.872236399104201,-6.89740253547879,-3.84037516931802,-3.81865545568542,0.115271299268184,0.0214855391177763,2.3024440890237,-2.77076877561761,-3.94101708590526,-4.33454827745465
"ENSG00000169604",0.0243595196996032,-2.03451140335062,-0.114357570590267,-7.5927896624424,-3.82896096343559,-3.80698915704473,0.115626797838716,0.0217321844371648,2.2955760531212,-2.76773498845376,-3.92976148760467,-4.31983546485504
"ENSG00000144331",-0.243084301905909,-2.03789421686428,0.425623666804959,-7.995326937102,-3.78613825606656,-3.76319400948725,0.115281330188634,0.0226830289814373,2.28249672434795,-2.77260891980748,-3.88631480948407,-4.28009483731766
"ENSG00000106772",-0.198536297464141,-2.01708062071213,0.135053529132864,-7.63798314937623,-3.8207801634998,-3.79862585887504,0.117421198506213,0.0219107002958718,2.2788416448772,-2.75084061828501,-3.92280643206062,-4.29525751677535
"ENSG00000189056",0.213047970934682,-2.01017479656397,0.576831956467233,-7.60685047099052,-3.80589258120744,-3.78340222054266,0.118138765938445,0.0222393378893012,2.26797800585872,-2.74457140019046,-3.90831372023842,-4.27385120037561
"ENSG00000154153",0.0291318472118757,-1.9741274499488,0.221212295511935,-7.32120793570966,-3.87370072005971,-3.85270042833369,0.121946248566231,0.0207813210941555,2.26319307156858,-2.706641914184,-3.97941329531383,-4.30801336763924
"ENSG00000132329",0.0163927733082793,-1.97799471461043,-0.288332098098007,-7.88741629097452,-3.79065375034796,-3.76781406436235,0.121532764848947,0.0225808347960589,2.23695001640135,-2.71343511576254,-3.89542226058934,-4.2283963583332
"ENSG00000179862",0.448774348929183,-1.98363776410555,0.994653724433449,-7.22687518473809,-3.77260782485978,-3.74934735974885,0.120931584027083,0.0229920258610872,2.23480742501613,-2.71967178132483,-3.87678768595222,-4.2155945425223
"ENSG00000110076",-0.101971889910518,-1.90962142101485,-0.660691094052744,-7.28572134903548,-3.89289069928628,-3.87229369992893,0.12902338949784,0.0203863300305987,2.21730690721942,-2.64240680825408,-4.00386422997686,-4.26695839347922
"ENSG00000137054",0.150256749253356,-1.92239983568984,-0.249756338207972,-7.68154245544909,-3.81405070454571,-3.79174512990609,0.127594192387224,0.0220586446887154,2.20085614750707,-2.65783053182408,-3.92344389661294,-4.19985642269406
"ENSG00000249992",-0.0233220672517855,-1.91360050648598,-0.538171817366628,-7.89170816282021,-3.78203489671639,-3.75899521304002,0.128576894060813,0.0227762968253715,2.18245235467118,-2.65039185747299,-3.89192290688342,-4.15954925656861
"ENSG00000182667",-0.0815318142351507,-1.87485937401475,0.0663206004599574,-7.51819893388543,-3.84020316276525,-3.81847967200058,0.132980453066323,0.0214892350891508,2.17131257432527,-2.61007511727473,-3.9537414386386,-4.18176497368251
"ENSG00000101265",0.161158652398068,-1.85583556788018,0.0286868084597394,-7.63709928844252,-3.82213469069132,-3.80001070855194,0.135189189248922,0.0218810417477253,2.14965490670478,-2.59204438294967,-3.93719701197765,-4.14596253673743
"ENSG00000135905",-0.0313930837727305,-1.85063191656512,0.0396523533777962,-7.93699816553467,-3.79194976425274,-3.76913999959832,0.135798719837576,0.0225515886759645,2.13504904481058,-2.5880998056965,-3.9072798449442,-4.11086609131157
"ENSG00000148584",-0.0661915744907385,-1.85304594387814,-0.000650025646226087,-8.28257175548131,-3.77731853832497,-3.75416866408743,0.135515664799276,0.0228839717211346,2.13191030163323,-2.59105229974774,-3.89234447625088,-4.09843946825041
