Probes.Probe_Type VCap.Probe_id VCap.Gene_symbol point_change androgen_point_change
Common Probe ILMN_1795678 POLR3C 8 0
Common Probe ILMN_1811997 ZNF364 3 0
Common Probe ILMN_1786021 PRKAB2 2 0
Common Probe ILMN_1811632 FMO5 16 8
Common Probe ILMN_1659047 HIST2H2AA4 14 0
Common Probe ILMN_1732071 HIST2H2BE 5 0
Common Probe ILMN_1694213 PLEKHO1 12 0
Common Probe ILMN_1660292 MRPS21 7 5
Common Probe ILMN_1780268 C1orf56 8 4
Common Probe ILMN_1769027 CDC42SE1 5 4
Common Probe ILMN_1737862 PSMB4 7 10
Common Probe ILMN_1746801 CGN 3 0
Common Probe ILMN_1781374 TUFT1 2 0
Common Probe ILMN_1734366 RORC 8 0
Common Probe ILMN_1750101 S100A11 8 4
Common Probe ILMN_1719627 SLC27A3 8 3
Common Probe ILMN_1711171 CREB3L4 21 6
Common Probe ILMN_1782057 ATP8B2 12 0
Common Probe ILMN_1721022 SHC1 6 0
Common Probe ILMN_1812570 SHC1 4 2
Common Probe ILMN_1736954 ZBTB7B 4 0
Common Probe ILMN_1756920 ADAM15 7 0
Common Probe ILMN_1770865 TRIM46 4 0
Common Probe ILMN_1793712 SCAMP3 12 0
Common Probe ILMN_1743747 RUSC1 7 0
Common Probe ILMN_1781680 DAP3 10 0
Common Probe ILMN_1656335 RIT1 4 0
Common Probe ILMN_1703477 ARHGEF2 6 0
Common Probe ILMN_1783226 SSR2 7 0
Common Probe ILMN_1785037 SSR2 6 0
Common Probe ILMN_1810514 SLC25A44 8 0
Common Probe ILMN_1698243 C1orf85 15 15
Common Probe ILMN_1690170 CRABP2 8 0
Common Probe ILMN_1811615 COPA 10 7
Common Probe ILMN_1701918 KLHDC9 11 7
Common Probe ILMN_1888609 BG120325 13 7
Common Probe ILMN_1751956 MGST3 13 10
Common Probe ILMN_1761804 ALDH9A1 12 10
Common Probe ILMN_1768662 UCK2 3 0
Common Probe ILMN_1756669 POGK 10 NA
Common Probe ILMN_1794333 POU2F1 1 5
Common Probe ILMN_1739103 MPZL1 3 0
Common Probe ILMN_1727813 BRP44 8 4
Common Probe ILMN_1658586 GPR161 0 0
Common Probe ILMN_1773940 GPR161 2 0
Common Probe ILMN_1658071 ATP1B1 3 0
Common Probe ILMN_1727540 C1orf112 3 0
Common Probe ILMN_1790575 METTL13 3 0
Common Probe ILMN_1661002 RFWD2 4 1
Common Probe ILMN_1673455 RASAL2 6 0
Common Probe ILMN_1912083 BI836710 16 0
Common Probe ILMN_1684271 ACBD6 14 1
Common Probe ILMN_1798030 XPR1 8 5
Common Probe ILMN_1777915 STX6 0 0
Common Probe ILMN_1765208 GLUL 4 0
Common Probe ILMN_1803818 NMNAT2 5 0
Common Probe ILMN_1667966 FAM129A 4 0
Common Probe ILMN_1680727 GLRX2 13 4
Common Probe ILMN_1661595 C1orf53 12 9
Common Probe ILMN_1811303 NR5A2 3 0
Common Probe ILMN_1782389 LAD1 3 0
Common Probe ILMN_1811921 CSRP1 16 0
Common Probe ILMN_1769201 ELF3 1 0
Common Probe ILMN_1770085 BTG2 2 0
Common Probe ILMN_1664772 ATP2B4 6 0
Common Probe ILMN_1680579 ATP2B4 6 4
Common Probe ILMN_1683755 SOX13 4 0
Common Probe ILMN_1800130 ETNK2 4 0
Common Probe ILMN_1729734 MFSD4 7 0
Common Probe ILMN_1771805 ELK4 13 0
Common Probe ILMN_1726114 SLC45A3 4 0
Common Probe ILMN_1656186 SLC41A1 5 0
Common Probe ILMN_1774844 MAPKAPK2 3 0
Common Probe ILMN_1723436 PFKFB2 11 6
Common Probe ILMN_1907834 AK025332 1 0
Common Probe ILMN_1725946 IRF6 3 0
Common Probe ILMN_1730794 SERTAD4 2 0
Common Probe ILMN_1693853 HHAT 8 2
Common Probe ILMN_1891067 KCNH1 9 0
Common Probe ILMN_1740493 TRAF5 3 0
Common Probe ILMN_1721605 SMYD2 13 3
Common Probe ILMN_1800220 KCTD3 1 0
Common Probe ILMN_1674817 C1orf115 4 0
Common Probe ILMN_1799106 MOSC1 3 0
Common Probe ILMN_1906626 BX103256 14 11
Common Probe ILMN_2401873 DUSP10 4 0
Common Probe ILMN_1779706 TP53BP2 8 5
Common Probe ILMN_1780058 DEGS1 4 0
Common Probe ILMN_1712636 NVL 5 0
Common Probe ILMN_1701025 EPHX1 8 0
Common Probe ILMN_1719649 TMEM63A 18 12
Common Probe ILMN_1700432 X57206 6 0
Common Probe ILMN_1714417 PSEN2 15 0
Common Probe ILMN_1731064 CABC1 4 0
Common Probe ILMN_1802203 ARF1 9 10
Common Probe ILMN_1677824 RAB4A 4 0
Common Probe ILMN_1751338 NUP133 11 8
Common Probe ILMN_1843403  1 10
Common Probe ILMN_1753064 TTC13 13 9
Common Probe ILMN_1745573 TTC13 15 0
Common Probe ILMN_1732923 SIPA1L2 5 0
Common Probe ILMN_1657446 C1orf57 7 0
Common Probe ILMN_1718863 KCNK1 6 0
Common Probe ILMN_1671005 IRF2BP2 1 0
Common Probe ILMN_1804357 GNG4 7 1
Common Probe ILMN_1761820 EDARADD 3 0
Common Probe ILMN_1787762 HEATR1 5 0
Common Probe ILMN_1741954 SMYD3 9 10
Common Probe ILMN_1795839 SCCPDH 13 1
Common Probe ILMN_1767456 SNTG2 4 0
Common Probe ILMN_1777660 RNF144A 8 3
Common Probe ILMN_1816374 AA883814 13 NA
Common Probe ILMN_1900263 AL359560 5 0
Common Probe ILMN_1777853 MBOAT2 4 0
Common Probe ILMN_1757237 ASAP2 0 0
Common Probe ILMN_1674385 YWHAQ 0 0
Common Probe ILMN_1667977 DQ894659 5 0
Common Probe ILMN_1651286 LBP-32 2 0
Common Probe ILMN_1751656 KLF11 8 1
Common Probe ILMN_1680626 PDIA6 10 0
Common Probe ILMN_1721170 GREB1 2 0
Common Probe ILMN_1714700 TRIB2 1 0
Common Probe ILMN_2219199 FAM84A 0 0
Common Probe ILMN_1815308 SDC1 5 0
Common Probe ILMN_1802205 RHOB 2 0
Common Probe ILMN_1738237 HS1BP3 4 0
Common Probe ILMN_1802109 KIAA1921 4 0
Common Probe ILMN_1776038 UBXN2A 14 0
Common Probe ILMN_1676893 ADCY3 8 1
Common Probe ILMN_1707713 CIB4 3 0
Common Probe ILMN_1768483 KCNK3 3 0
Common Probe ILMN_1743371 ABHD1 11 6
Common Probe ILMN_1733930 PREB 7 1
Common Probe ILMN_1772719 XAB1 13 7
Common Probe ILMN_1753135 ALK 0 7
Common Probe ILMN_2146418 CRIM1 4 0
Common Probe ILMN_1741727 QPCT 12 0
Common Probe ILMN_1693338 CYP1B1 4 0
Common Probe ILMN_1756826 MORN2 9 0
Common Probe ILMN_1787511 THUMPD2 3 0
Common Probe ILMN_1768751 MTA3 13 0
Common Probe ILMN_1811624 THADA 10 3
Common Probe ILMN_1754247 DQ895222 5 0
Common Probe ILMN_1761808 MCFD2 6 0
Common Probe ILMN_1730611 RTN4 4 0
Common Probe ILMN_1669982 CCDC85A 5 0
