"geneID","logfc.DE","B.DE","M.ChIP","A.ChIP","log.p.ChIP","B.ChIP","p.DE","p.ChIP","B.nothing","B.DE.only","B.ChIP.only","B.ChIP.DE"
"ENSG00000164751",-0.192376463816465,0.111303369211132,3.3320584792404,-6.02133583525827,-1.41434481947371,-1.13584073252395,0.527797151281146,0.243084825730708,-0.973985686349036,-1.71583584107934,-2.38864660455367,-0.0421568501625544
"ENSG00000159063",-0.0332722572804099,0.770216379943171,2.90390448923276,-6.59642617579941,-1.9706593293671,-1.820574610699,0.683567699204432,0.139364938519653,-1.08841749490318,-0.990912909145629,-3.20578604194767,-0.247644931748576
"ENSG00000172893",-0.00385376200848966,0.867404858499638,2.77251366110735,-6.57873998092307,-2.07011877871538,-1.93524843934721,0.704205416260743,0.126170794410092,-1.10933684773945,-0.877385270859817,-3.34109155467152,-0.305975183160515
"ENSG00000179010",-0.0480041238888516,-0.073090995412196,3.15595710351628,-6.03636138810543,-1.57573925723167,-1.34399056591944,0.481735381669202,0.206854577401829,-0.650991900042689,-1.66941052852661,-2.37176312506124,-0.35001094878082
"ENSG00000027075",-0.0114063177476694,0.780159505840598,2.60875412217346,-5.98767527714759,-2.11670623485299,-1.98838679486012,0.685714490080642,0.120427636326335,-0.994095210325582,-0.879996802315984,-3.30766842846631,-0.399599574224989
"ENSG00000123560",-0.027131814934631,1.52950402874709,2.83951747176945,-7.36621862766185,-2.60969746037249,-2.53329492546116,0.821933736111065,0.073556794242192,-1.43398418779528,-0.233058998645201,-4.21264709814854,-0.614941868222801
"ENSG00000175449",-0.0409192768196453,0.792913934634188,2.41394107748547,-6.52691455177062,-2.35711477667562,-2.25763356619788,0.688456666147361,0.0946930400060175,-0.854046894208889,-0.716100582516289,-3.48234380474786,-0.648425907284709
"ENSG00000183077",-0.00235002800938321,0.510427096728241,2.50423429593042,-6.21818342167542,-2.21450961744468,-2.09886635469204,0.624906590573491,0.109207054354198,-0.673941470766802,-0.945352824866797,-3.19067652676122,-0.649746351298131
"ENSG00000008853",-0.0288652816984227,0.246254473535217,2.73819892672292,-6.556676634962,-2.08884285860362,-1.9566473251372,0.561254385497376,0.123830342161525,-0.513284102339413,-1.16211707048758,-2.93344891219414,-0.677727919531916
"ENSG00000156284",-0.0141497097701019,-0.40494000249567,3.06258359074013,-6.06906190251877,-1.66780842372098,-1.4587402530255,0.400126031962112,0.188660075848779,-0.281753503273754,-1.79307679155973,-2.2485947867547,-0.700012720709272
"ENSG00000169756",-0.0640200964906828,0.791286609811731,2.26804302922374,-6.64865374007092,-2.5313711710836,-2.44847871532616,0.688107523873867,0.0795498689903855,-0.755495909036254,-0.615472734493836,-3.6086381597399,-0.832157954134642
"ENSG00000242110",-0.162720824180592,1.92188236841366,1.82301112732205,-6.74600654806776,-2.93058161064568,-2.87573887613773,0.872348195203585,0.0533659908889468,-1.6808543464558,0.134998315142072,-4.76515593003961,-0.84316006530773
"ENSG00000233802",-0.153813649189626,0.574447798141382,2.37895718636851,-6.73629750513921,-2.48036542103382,-2.39294018061818,0.63978884663221,0.0837126296466659,-0.575553660138634,-0.762693543208192,-3.42909141964805,-0.892552531229611
