"geneID","logfc.DE","B.DE","M.ChIP","A.ChIP","log.p.ChIP","B.ChIP","p.DE","p.ChIP","B.nothing","B.DE.only","B.ChIP.only","B.ChIP.DE"
"ENSG00000179431",0.480305119736328,-2.70168285087352,2.95791509224863,-6.45920255581281,-1.93477207228897,-1.77875292528387,0.0628741278773476,0.144457190868333,1.38251097498799,-3.59672485908469,-1.91096861369382,-3.05383860106121
"ENSG00000156284",0.136141199296449,-0.508763140196541,3.35316935107048,-5.98394368980361,-1.45725817696979,-1.19215409363338,0.375483519071456,0.232873899223573,-0.403423420989303,-1.99441947109166,-2.03011568292638,-0.55958816779694
"ENSG00000134308",0.344448755658523,-0.133103480619256,4.01826132177391,-6.58295590845684,-1.21769660853663,-0.866846124650177,0.46677317072772,0.295910981360306,-0.980954845263442,-2.0042391458851,-2.09661143990985,-0.00355011281502586
"ENSG00000134317",0.281426661228721,-0.508978164689399,3.41008407050201,-6.61878054749811,-1.65688446173777,-1.44525896086128,0.375433098114272,0.190732289127738,-0.206097730131737,-1.86459447062176,-2.18660873747523,-0.771221616806354
"ENSG00000120889",0.229277000691412,-0.292758125458983,3.3351508455678,-6.15725599384623,-1.51308933101395,-1.2643348941479,0.427328766775857,0.220228567007118,-0.524328656935465,-1.83169009135382,-2.19424696179192,-0.447925837955288
"ENSG00000164751",-0.192376463816465,0.111303369211132,3.66494627438036,-5.95726695962868,-1.19373608244346,-0.832641688665323,0.527797151281146,0.303086788909069,-1.22070643539765,-1.93066578067987,-2.25878398174932,0.204374307863301
"ENSG00000146678",0.192849503180444,-0.743928094412996,2.89023978474354,-5.95071591874,-1.88696757815513,-1.72264629882511,0.322145775555802,0.151530617588887,0.187310180300489,-1.90758071158559,-2.27494352192843,-1.2035938872732
"ENSG00000092421",-0.287316586465564,-1.27550905548011,2.67309425207788,-6.13160934665245,-2.1080334868781,-1.97852073205776,0.218315651323743,0.121476617063134,0.769847374888048,-2.2544580471619,-2.31077987602968,-1.88940431183478
"ENSG00000172554",0.215434616803074,-0.030295676542751,3.30652219793621,-6.36828061190808,-1.60944077282124,-1.38629793660253,0.492426660107413,0.199999427923391,-0.656449155344492,-1.6226454543803,-2.42183796813019,-0.355293268736886
"ENSG00000172348",0.149914333986449,-0.601915911564027,3.10527674852476,-6.77118420848673,-1.99282657082302,-1.84628567271127,0.353905485824618,0.136309591694415,0.158689333917565,-1.75800479401782,-2.42470929680921,-1.1967015176727
"ENSG00000255168",0.237047338551713,0.294918062417165,3.66842819129249,-6.23177937780077,-1.28097865907732,-0.955573494113825,0.573199727442329,0.27776532983024,-1.28229885633033,-1.773630970127,-2.44587950813995,0.233085895113733
"ENSG00000109381",0.184349896552534,-0.255336398879157,3.2089995602409,-6.66216438878872,-1.83814145987316,-1.66484362362003,0.436510468248721,0.159112869127493,-0.258714562716549,-1.60056308302655,-2.45999074998232,-0.764332665113139
"ENSG00000136813",-0.0579560017225477,-1.15211625896281,2.47672094182828,-6.15747534019763,-2.30480259644214,-2.19968816679196,0.240102752022774,0.0997784953396325,0.827272220697773,-2.09720080129225,-2.53221150733671,-1.98090583962343
"ENSG00000197275",0.309381652064871,-0.271211411478769,2.8741837957137,-6.28595682446334,-1.94627112532484,-1.79218059554277,0.432609719488814,0.142805584124938,-0.157255235593707,-1.55216065402301,-2.53720896570511,-0.889717841930628
"ENSG00000156675",0.00564569118580609,-0.0640614591480612,2.93260544756297,-5.70174915645957,-1.86578720552633,-1.69763559195489,0.483990110048183,0.1547743227139,-0.402729154113921,-1.46992977722916,-2.58594348105365,-0.652877765525661
"ENSG00000008853",-0.0288652816984227,0.246254473535217,3.20193838134655,-6.05955917466557,-1.60352833432953,-1.37890191558342,0.561254385497376,0.201185414821789,-0.908123008783484,-1.49688370190126,-2.60050884436914,-0.157849053110909
"ENSG00000175264",-0.22871128245901,-0.0644846341595177,3.05075947190845,-6.54061373749279,-1.89596364689359,-1.73324051887657,0.483884425479678,0.150173551021325,-0.377992869285642,-1.45227699712328,-2.60834974860162,-0.685052547393913
"ENSG00000169047",-0.245649688252317,-0.661066361061541,2.52202523878803,-6.3125043689552,-2.2785365420074,-2.17046791278424,0.340500109025173,0.102434004940341,0.417111787176082,-1.69721834903715,-2.65499356132863,-1.53888606836506
"ENSG00000142192",-0.401411866154314,-0.688208529301682,2.48120324426778,-6.17876468638807,-2.30113971509518,-2.1956184728592,0.334431713244132,0.100144642296095,0.455030816294898,-1.71169876512765,-2.66597141596034,-1.5841369459146
"ENSG00000179833",0.390420761006798,-1.43998572030397,2.31080131583493,-5.78212756371176,-2.57024634519578,-2.49064378926063,0.191547559863933,0.0765166935821152,1.22199118513503,-2.30094632462795,-2.73210767482604,-2.50603076668744
"ENSG00000234295",-0.206087988277461,-0.0724832029307404,2.72263998862931,-6.39451855082852,-2.11549556444183,-1.98701025001479,0.48188712871214,0.120573522794718,-0.205384026449166,-1.33898472432619,-2.7738428887294,-0.921093838700828
