"geneID","logfc.DE","B.DE","M.ChIP","A.ChIP","log.p.ChIP","B.ChIP","p.DE","p.ChIP","B.nothing","B.DE.only","B.ChIP.only","B.ChIP.DE"
"ENSG00000125124",-0.16877279034737,-0.119837652012125,0.78434251686252,-7.93165132431786,-3.37302847835132,-3.33814128942143,0.470076389665808,0.0342856466175801,0.459061964370285,-0.992457058240639,-3.85316166147141,-2.24237283192002
"ENSG00000155755",-0.215513664050285,-0.116076060695166,0.234707617924777,-8.55477546805494,-3.38396135023205,-3.34946012123671,0.471013523660882,0.0339128476308509,0.45890048363093,-0.987383401346668,-3.86478305342829,-2.25079846882594
"ENSG00000154957",0.17436561769528,-0.112605292504183,0.412690773120134,-7.90616810252184,-3.39184714803254,-3.35762160996077,0.47187838565586,0.0336464694542253,0.45804638741667,-0.983071156538002,-3.87345266747282,-2.25634740252317
"ENSG00000106628",-0.0278462571332771,-0.120310380084394,-0.802211101737993,-7.86926202356039,-3.36446508055508,-3.32927251419763,0.469958632607025,0.0345805089581302,0.456826069745619,-0.994292030750973,-3.84498878907643,-2.23404009396925
"ENSG00000244165",0.371261861275793,-0.114699603937912,-0.44042105713249,-8.66919625426937,-3.37716780679187,-3.34242726148041,0.4713564949594,0.0341440203863956,0.455488765030864,-0.987309421966736,-3.85895267146223,-2.24296243625287
"ENSG00000112130",0.0307820887641074,-0.102052025640426,-0.0691473137726047,-7.66524905907547,-3.41604091391438,-3.38264729908214,0.474509112900697,0.0328422029969673,0.455408862726348,-0.969951194812049,-3.90003541051452,-2.27345159787249
"ENSG00000142192",-0.401411866154314,-0.688208529301682,2.48120324426778,-6.17876468638807,-2.30113971509518,-2.1956184728592,0.334431713244132,0.100144642296095,0.455030816294898,-1.71169876512765,-2.66597141596034,-1.5841369459146
"ENSG00000103707",0.0836751240599806,-0.104283225376104,0.238337385975356,-7.81899140894945,-3.40129228261128,-3.36739400322149,0.47395279463916,0.0333301701184609,0.453051809569877,-0.974288056666468,-3.88540513917316,-2.2600900513049
"ENSG00000141505",-0.0536554285576751,-0.105934851425512,-0.455985573673601,-7.77411080099791,-3.39306548822865,-3.35888234356162,0.473541026491879,0.0336055015695099,0.452099687909547,-0.977071893508684,-3.87709569586724,-2.25292055761211
"ENSG00000135847",0.0383938823124117,-0.108737182855981,-0.120113757364632,-8.57803547587239,-3.38250181938847,-3.34794931732162,0.47284245773663,0.033962380616629,0.451497780664235,-0.981248891299094,-3.86617397268278,-2.24419046446479
"ENSG00000116299",-0.317289621079696,-0.10311873709863,-0.221896451674575,-7.83399694815747,-3.39775851430688,-3.36373816981549,0.474243135427124,0.0334481595681118,0.450868251011507,-0.973853698671428,-3.88254075045073,-2.25570364050029
"ENSG00000107295",-0.0642847631392136,-0.104348746888377,-0.339679487330958,-7.89288846598566,-3.3900580143452,-3.3557701245649,0.4739364587425,0.0337067213694793,0.449671952256565,-0.976189024261522,-3.8748832908318,-2.24877169890023
"ENSG00000182795",-0.256456203689302,-0.0593551937657392,-0.100275415144968,-7.0962997702045,-3.53676989953885,-3.50723068670609,0.485165556496479,0.0291071945624661,0.449427889755875,-0.913838391307932,-4.02935367679691,-2.36594419825822
"ENSG00000173821",-0.0112940790232553,-0.101441297224884,0.188187602289884,-7.88488829531244,-3.39774961410274,-3.36372896161254,0.474661400528302,0.0334484572648847,0.449275017404058,-0.972397086914165,-3.88316444170204,-2.25452549068823
"ENSG00000168556",-0.278732511505845,-0.1042495552628,0.210493359804183,-8.1073502677368,-3.3879063567868,-3.35354332819312,0.473961189331127,0.0337793247721024,0.44891534592824,-0.976458206745993,-3.8729110711354,-2.24652583270193
"ENSG00000184307",0.0732792623278577,-0.104091896415621,0.321718994914407,-8.35711909973287,-3.38293485619754,-3.34839757472341,0.474000497308411,0.0339476768395667,0.447230849245737,-0.97714507314017,-3.86832838902074,-2.24138633444029
"ENSG00000154359",0.0637728302668422,-0.101695607899683,0.370509159083839,-7.97604907370942,-3.38990820583941,-3.35561508995941,0.474597986547378,0.0337117713012949,0.44711109057849,-0.973909718545348,-3.87574382618822,-2.2467703955809
"ENSG00000078399",-0.0696400938622017,-0.0942085934718942,0.173298989796134,-7.70309060192079,-3.41182005249268,-3.3782827947819,0.476465255470728,0.0329811183495883,0.446691247636093,-0.963807193712082,-3.89904333683777,-2.26372371283997
"ENSG00000107438",-0.0521683040644526,-0.11060181081652,0.945873303987401,-7.97604907370942,-3.3610393643442,-3.3257238737584,0.472377699638884,0.0346991751104787,0.44656237785165,-0.986452308059099,-3.84544177932358,-2.22377768324628
"ENSG00000156675",0.00564569118580609,-0.0640614591480612,0.713197861047832,-6.92923598537353,-3.50705149763963,-3.4766075522607,0.483990110048183,0.0299851956444283,0.445705682720912,-0.922454609055037,-3.99965535462519,-2.33915139628435
"ENSG00000126249",0.0543792878557085,-0.0952982874092447,-0.148284634331328,-7.76544234117127,-3.40495987648568,-3.37118781385727,0.476193442548366,0.033208152483042,0.445646257050792,-0.965875340603657,-3.89222023301375,-2.25754252813795
"ENSG00000033327",0.153194902024284,-0.0999130390044898,-0.237896793021015,-7.94377981314064,-3.39055508510507,-3.35628452993462,0.475042498556865,0.0336899709073031,0.445620204904073,-0.972255133514997,-3.8770209797444,-2.24618284653744
"ENSG00000057935",0.0124735541145118,-0.0990436494027719,0.210493359804183,-8.1073502677368,-3.3879063567868,-3.35354332819312,0.475259309125267,0.0337793247721024,0.4439809976541,-0.97193934128999,-3.87487648646351,-2.24289774218609
"ENSG00000168036",-0.485144313165855,-0.0957962573969696,0.488773079577573,-7.82160693365823,-3.39350277358717,-3.35933483168632,0.476069233752065,0.0335908095882361,0.442621667310207,-0.968193881385336,-3.88133024845739,-2.24629920633757
"ENSG00000122203",-0.210978573710124,-0.088899509937348,-0.347330634066478,-7.61712917713426,-3.41389268072676,-3.38042603631672,0.477789748118434,0.0329128315435319,0.44227725835061,-0.958851820020575,-3.90298921443549,-2.26213232473412
"ENSG00000122779",0.0888916518479318,-0.102392508370839,0.889703032520346,-7.87897106648894,-3.36649507287801,-3.33137514273603,0.474424214196449,0.0345103819931046,0.440503897400964,-0.978424389548326,-3.85363203815475,-2.22356737082889
